,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,OverNO
21,2,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.2,1,1,0,484384,146.00,71.00,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,2,3,40,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,
22,3,1503,1,54,South Africa (Women),Laura Wolvaardt,Shreyanka Patil,,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.3,1,1,0,484387,75.50,42.50,1,0,,25,OFF SPIN,97,BACKFOOT PUSH,0,0,3,3,41,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,
23,4,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.4,1,1,0,484390,150.50,71.00,1,0,,25,OFF SPIN,27,FORWARD PUSH,0,0,4,3,42,0,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,
24,5,1503,1,54,South Africa (Women),Laura Wolvaardt,Shreyanka Patil,,4,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,3.5,1,1,0,484393,135.50,-38.00,1,0,,25,OFF SPIN,58,BACKFOOT PULL SHOT,0,0,5,3,43,0,Off stump,Short of Good Length,0,0,0,0,0,0,0,0,
25,6,1503,1,54,South Africa (Women),Tazmin Brits,Shreyanka Patil,,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,3.6,1,1,0,484394,45.50,-60.50,0,0,,25,OFF SPIN,40,FRONTFOOT FLICK,0,0,6,3,43,0,Outside Leg stump,Good Length,0,0,0,0,0,0,0,0,
26,1,1503,1,54,South Africa (Women),Laura Wolvaardt,Pooja Vastrakar,,5,1,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,4.1,1,1,0,484401,-95.00,-20.50,0,0,,38,STRAIGHT BALL,16,BACKFOOT SQUARE DRIVE,0,0,1,4,43,1,Outside Off stump,Short of Good Length,1,0,0,0,0,0,0,0,
27,2,1503,1,54,South Africa (Women),Marizanne Kapp,Pooja Vastrakar,,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,4.2,1,1,0,484404,-95.00,-20.00,1,0,,38,STRAIGHT BALL,16,BACKFOOT SQUARE DRIVE,0,0,2,4,44,1,Outside Off stump,Short of Good Length,2,0,0,0,0,0,0,0,
28,3,1503,1,54,South Africa (Women),Tazmin Brits,Pooja Vastrakar,,5,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.3,1,1,0,484407,196.00,40.50,4,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,3,4,48,1,Outside Off stump,Good Length,0,0,0,0,0,0,0,0,
29,4,1503,1,54,South Africa (Women),Tazmin Brits,Pooja Vastrakar,,5,4,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,,,0,4.4,1,1,0,484410,160.00,69.00,3,0,,38,STRAIGHT BALL,11,LOFTED ON DRIVE,0,0,4,4,51,1,Outside Off stump,Good Length,0,1,1,0,1,0,0,0,
30,5,1503,1,54,South Africa (Women),Marizanne Kapp,Pooja Vastrakar,,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,4.5,1,1,0,484415,6.00,-19.00,0,0,,39,ANGLED IN,49,FORWARD DEFENCE,0,0,5,4,51,1,Off stump,Good Length,0,0,1,0,0,0,0,0,
31,6,1503,1,54,South Africa (Women),Marizanne Kapp,Pooja Vastrakar,,5,6,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,4.6,1,1,0,484416,-74.00,223.50,4,0,,38,STRAIGHT BALL,5,LOFTED OFF DRIVE,0,0,6,4,55,1,Outside Off stump,Short of Good Length,0,0,1,0,0,0,0,0,
32,1,1503,1,54,South Africa (Women),Tazmin Brits,Radha Yadav,,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5.1,1,1,0,484420,42.50,184.50,1,0,,10,ORTHODOX,47,FRONTFOOT ON DRIVE,0,0,1,5,56,1,Off stump,Full Length,1,0,1,0,0,0,0,0,
33,2,1503,1,54,South Africa (Women),Marizanne Kapp,Radha Yadav,,6,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,5.2,1,1,0,484423,-78.00,215.50,4,0,,10,ORTHODOX,5,LOFTED OFF DRIVE,0,0,2,5,60,1,Outside Off stump,Full Length,0,0,1,0,0,0,0,0,
34,3,1503,1,54,South Africa (Women),Marizanne Kapp,Radha Yadav,,6,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,5.3,1,1,0,484425,-77.00,216.00,4,0,,10,ORTHODOX,5,LOFTED OFF DRIVE,0,0,3,5,64,1,Outside Off stump,Full Length,0,0,1,0,0,0,0,0,
